Name,Address,PhoneNumber,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
고품격커피공장,부산광역시 부산진구 동평로223번길 25,,35.1700296094723,129.050452586505,09:30 ~ 21:00,09:30 ~ 21:00,09:30 ~ 21:00,09:30 ~ 21:00,09:30 ~ 21:00,09:30 ~ 21:00,09:30 ~ 21:00
노아스로스팅 롯데백화점광복점,부산광역시 중구 중앙대로 2,051 678 4250,35.0979848964696,129.036632251021,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00
커피라미,부산광역시 부산진구 새싹로 17,,35.1593104100815,129.05749535777,07:00 ~ 19:00,07:00 ~ 19:00,07:00 ~ 19:00,07:00 ~ 19:00,07:00 ~ 19:00,,
블루샥 용호메트로점,부산광역시 남구 분포로 113,,35.1272669147748,129.109040555258,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
블루샥 송상현광장점,부산광역시 부산진구 중앙대로 846,,35.1663463838572,129.066725993298,07:30 ~ 23:00,07:30 ~ 23:00,07:30 ~ 23:00,07:30 ~ 23:00,07:30 ~ 23:00,08:30 ~ 23:00,08:30 ~ 23:00
글로우 커피,부산광역시 부산진구 전포대로 294,,35.1628237857617,129.066855875941,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 19:00,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40
아덴블랑제리 부산대점,부산광역시 금정구 장전로 55,,35.2294680911726,129.08305926129,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00
댄싱컵 센텀리버SK점,부산광역시 연제구 좌수영로 225,,35.1837740022009,129.113720499138,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
댄싱컵 대연역점,부산광역시 남구 수영로 241,051 952 5000,35.1353731128714,129.09294750441,08:10 ~ 20:00,08:10 ~ 20:00,08:10 ~ 20:00,08:10 ~ 20:00,08:10 ~ 20:00,08:10 ~ 17:00,10:00 ~ 05:30
더리터(동래역점),부산광역시 동래구 충렬대로 150,,35.2048238637115,129.076452989714,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,08:00 ~ 21:00
카페 띵크아웃라우드,부산광역시 금정구 금강로 582,,35.2593762414687,129.087898900897,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00
커피공장,부산광역시 강서구 명지오션시티4로 90,,35.0809285398771,128.903246289394,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,09:00 ~ 16:00,
동네커피,부산광역시 강서구 명지국제8로 240,,35.0978294987286,128.91888769212,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00,09:00 ~ 20:00
카이만커피,부산광역시 부산진구 동성로 43,,35.1543697226338,129.068228586058,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
영커피,부산광역시 금정구 부곡온천천로 190,,35.2423296835377,129.090547632939,09:00 ~ 00:30,09:00 ~ 00:30,09:00 ~ 00:30,09:00 ~ 00:30,09:00 ~ 00:30,09:00 ~ 00:30,09:00 ~ 00:30
티엔모어 티카페,부산광역시 해운대구 달맞이길62번길 38,,35.158500786398,129.171182572303,,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00,10:30 ~ 21:00
청솔로9,부산광역시 영도구 절영로35번길 64,,35.0899684996058,129.042437487737,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00
이디야커피 부산태종대점,부산광역시 영도구 태종로833번길 11,,35.0623735643699,129.082070773266,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 21:00
달리는커피 영도봉래점,부산광역시 영도구 대교로2번길 22-2,,35.0938100678789,129.045384733474,08:00 ~ 19:30,08:00 ~ 19:30,08:00 ~ 19:30,08:00 ~ 19:30,08:00 ~ 19:30,09:00 ~ 18:00,09:00 ~ 18:00
댄싱컵동래동일스위트점,부산광역시 동래구 시실로 119,,35.2134812754542,129.094163965264,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
투썸플레이스 부산양정국제식품점,부산광역시 부산진구 거제대로 70,,35.1748853500412,129.068275666964,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
컴포즈 초읍대공원점,부산광역시 부산진구 새싹로 277,,35.1808204977464,129.047101869808,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
댄싱컵 자유평화점,부산광역시 부산진구 자유평화로 15,,35.1416549451257,129.061526351965,07:10 ~ 19:00,07:10 ~ 19:00,07:10 ~ 19:00,07:10 ~ 19:00,07:10 ~ 19:00,08:10 ~ 18:00,09:10 ~ 17:00
무배커피,부산광역시 북구 금곡대로 29,,35.2124681935268,129.004061980567,11:00 ~ 02:00,11:00 ~ 02:00,11:00 ~ 02:00,11:00 ~ 02:00,11:00 ~ 02:00,08:00 ~ 02:00,08:00 ~ 02:00
유동커피 부경대점,부산광역시 남구 용소로21번길 56,,35.1357394411391,129.103980604541,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
로더,부산광역시 남구 용소로21번길 21-2,,35.1356242860829,129.102064482808,10:30 ~ 21:30,10:30 ~ 21:30,10:30 ~ 21:30,10:30 ~ 21:30,10:30 ~ 21:30,10:30 ~ 21:30,10:30 ~ 21:30
동삼커피,부산광역시 영도구 절영로 524,,35.0728453246056,129.073711492582,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,
